META|runtime=10.0.11|os=Microsoft Windows 10.0.26100|arch=X64|mlkemSupported=True|backing=CNG
noncanon-q3329-last|ML-KEM-1024|fail-modulus|seed:781000+coeff[1023]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-last|ML-KEM-1024|fail-modulus|seed:781000+coeff[1023]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-last|ML-KEM-1024|fail-modulus|seed:781000+coeff[1023]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
len-minus-1|ML-KEM-1024|fail-type|derived:len-1|import-rejected|arg-class:ArgumentException
len-plus-1|ML-KEM-1024|fail-type|derived:len+1|import-rejected|arg-class:ArgumentException
rho-zero|ML-KEM-1024|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-ff|ML-KEM-1024|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-prng-a|ML-KEM-1024|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-prng-b|ML-KEM-1024|pass|derived:rho-mutation|import-accepted|encap-accepted
cross-set-1024-as-768|ML-KEM-768|fail-type|seed:555000+4000|import-rejected|arg-class:ArgumentException
cross-set-1024-as-512|ML-KEM-512|fail-type|seed:555000+4000|import-rejected|arg-class:ArgumentException
cross-set-768-as-512|ML-KEM-512|fail-type|seed:555000+3000|import-rejected|arg-class:ArgumentException
congruent-plant|ML-KEM-512|fail-modulus|seed:911001+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-512|fail-modulus|seed:911002+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-512|fail-modulus|seed:911003+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-512|fail-modulus|seed:911004+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-512|fail-modulus|seed:911005+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-512|fail-modulus|seed:911006+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-512|fail-modulus|seed:911007+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-768|fail-modulus|seed:912000+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-768|fail-modulus|seed:912002+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-768|fail-modulus|seed:912004+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-768|fail-modulus|seed:912005+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-768|fail-modulus|seed:912006+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-768|fail-modulus|seed:912007+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-1024|fail-modulus|seed:913001+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-1024|fail-modulus|seed:913002+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-1024|fail-modulus|seed:913003+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-1024|fail-modulus|seed:913004+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-1024|fail-modulus|seed:913005+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
congruent-plant|ML-KEM-1024|fail-modulus|seed:913007+plant(c+q)@0,mid,last|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId2|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId3|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId4|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId5|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId6|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId7|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId8|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-512|fail-modulus|wycheproof:tcId9|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId2|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId3|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId4|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId5|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId6|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId7|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId8|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId9|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId10|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId11|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId12|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-768|fail-modulus|wycheproof:tcId13|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId2|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId3|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId4|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId5|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId6|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId7|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId8|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId9|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId10|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId11|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId12|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId13|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId14|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId15|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId16|import-rejected|crypto-class:Unknown error (0xc1000001)
wycheproof-modoverflow|ML-KEM-1024|fail-modulus|wycheproof:tcId17|import-rejected|crypto-class:Unknown error (0xc1000001)
SUMMARY|total=199
