axis	vector_id	adapter	lib_version	expected_struct_hex	actual_struct_hex	struct_verdict	struct_notes	expected_msg_hex	actual_msg_hex	msg_verdict	msg_notes
cose_sign1_message_construction	sign1_multiple_tstr_headers	lib_go_cose	1.3.0	846a5369676e6174757265315820a2636b6964646b6579316463747970706170706c69636174696f6e2f63626f7240417a	846a5369676e6174757265315820a2636b6964646b6579316463747970706170706c69636174696f6e2f63626f7240417a	PASS		d28458225820a2636b6964646b6579316463747970706170706c69636174696f6e2f63626f72a163616c67654553323536417a584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_multiple_tstr_headers	lib_pycose	1.1.0	846a5369676e6174757265315820a2636b6964646b6579316463747970706170706c69636174696f6e2f63626f7240417a		NOT_SUPPORTED	adapter returned None (no structure extraction)	d28458225820a2636b6964646b6579316463747970706170706c69636174696f6e2f63626f72a163616c67654553323536417a584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_empty_payload	lib_go_cose	1.3.0	846a5369676e61747572653143a101264040	846a5369676e61747572653143a101264040	PASS		d2844443a10126a040584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_empty_payload	lib_pycose	1.1.0	846a5369676e61747572653143a101264040	846a5369676e61747572653143a101264040	PASS		d2844443a10126a040584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28443a10126a0405840596a9ed59366366ce882fcaba01ad5beda5f8c0e73554e378a8d16fd5f4ab016686c94d2656ebb68495c519c5043c8840fac43580bcefef4e5426e76dcd2bb18	DIVERGE	actual=d28443a10126a0405840596a9ed59366366ce882fcaba01ad5beda5f8c0e73554e378a8d16fd5f4ab016686c94d2656ebb68495c519c5043c8840fac43580bcefef4e5426e76dcd2bb18 expected=d2844443a10126a040584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_with_external_aad	lib_go_cose	1.3.0	846a5369676e61747572653143a1012640477061796c6f6164	846a5369676e61747572653143a1012640477061796c6f6164	PASS		d2844443a10126a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_with_external_aad	lib_pycose	1.1.0	846a5369676e61747572653143a1012640477061796c6f6164	846a5369676e61747572653143a1012640477061796c6f6164	PASS		d2844443a10126a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28443a10126a0477061796c6f616458401e878732709ad8922fbc62c29af0329bf6254da8e64127cc35d354b8feb5b355e17175d0553a38ecbb768ddd5ef145e6cd87566be5aab7563a72883ae42350a9	DIVERGE	actual=d28443a10126a0477061796c6f616458401e878732709ad8922fbc62c29af0329bf6254da8e64127cc35d354b8feb5b355e17175d0553a38ecbb768ddd5ef145e6cd87566be5aab7563a72883ae42350a9 expected=d2844443a10126a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_kid_tstr_int_label_same	lib_go_cose	1.3.0	846a5369676e61747572653146a201260441ff40477061796c6f6164	846a5369676e61747572653146a201260441ff40477061796c6f6164	PASS		d2844746a201260441ffa0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_kid_tstr_int_label_same	lib_pycose	1.1.0	846a5369676e61747572653146a201260441ff40477061796c6f6164	846a5369676e61747572653146a201260441ff40477061796c6f6164	PASS		d2844746a201260441ffa0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28446a201260441ffa0477061796c6f616458407b31b330fe78ea772118c8431ca437cb0e5cd433e768d4783ef0f17519c228bbab3117a613aaa405a34e57ff9479627ff00e31b294a06d672698f872a725d4e5	DIVERGE	actual=d28446a201260441ffa0477061796c6f616458407b31b330fe78ea772118c8431ca437cb0e5cd433e768d4783ef0f17519c228bbab3117a613aaa405a34e57ff9479627ff00e31b294a06d672698f872a725d4e5 expected=d2844746a201260441ffa0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
deterministic_ecdsa_nonce	sign1_es256_deterministic_call_0	lib_go_cose	1.3.0	846a5369676e61747572653143a1012640581a64657465726d696e69737469635f746573745f7061796c6f6164	846a5369676e61747572653143a1012640581a64657465726d696e69737469635f746573745f7061796c6f6164	PASS				NOT_SUPPORTED	adapter returned None
deterministic_ecdsa_nonce	sign1_es256_deterministic_call_0	lib_pycose	1.1.0	846a5369676e61747572653143a1012640581a64657465726d696e69737469635f746573745f7061796c6f6164	846a5369676e61747572653143a1012640581a64657465726d696e69737469635f746573745f7061796c6f6164	PASS			d28443a10126a0581a64657465726d696e69737469635f746573745f7061796c6f616458404c2c38a2b2d8192d47540c3988ffe281ffbb70f5674df6e655f839c08d8ada5def4b788fe1320cdc9016e042750a3150d40838700723ab78f67ce19396ec6ec5	INSTRUMENT_QUESTION	no oracle expected bytes
